time,location,app_responses,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity
2020-04-06 00:00:00,2,1,2.0,8.0,5.0,,3.0,0.0
2020-04-06 00:00:00,3,1,6.0,3.0,10.0,10.0,9.0,
2020-04-06 00:00:00,4,2,9.0,1.5,9.5,,6.5,1.0
2020-04-06 00:00:00,8,1,9.0,7.0,5.0,,4.0,
2020-04-06 00:00:00,15,1,6.0,2.0,9.0,,4.0,1.0
2020-04-06 00:00:00,17,1,2.0,4.0,1.0,,4.0,
2020-04-06 00:00:00,18,1,9.0,7.0,4.0,,8.0,0.0
2020-04-06 00:05:00,2,1,10.0,10.0,3.0,,10.0,0.0
2020-04-06 00:05:00,5,1,6.0,2.0,0.0,7.0,9.0,
2020-04-06 00:05:00,6,1,10.0,3.0,8.0,4.0,1.0,
2020-04-06 00:05:00,8,5,3.6,5.6,4.0,,5.4,0.0
2020-04-06 00:05:00,13,1,10.0,1.0,4.0,,3.0,
2020-04-06 00:05:00,14,1,10.0,4.0,1.0,,1.0,
2020-04-06 00:05:00,15,1,7.0,9.0,10.0,,3.0,
2020-04-06 00:05:00,19,1,4.0,3.0,8.0,,10.0,
2020-04-06 00:10:00,2,1,1.0,7.0,1.0,,2.0,
2020-04-06 00:10:00,3,1,5.0,9.0,10.0,7.0,0.0,1.0
2020-04-06 00:10:00,4,2,6.0,5.0,9.0,,7.5,0.0
2020-04-06 00:10:00,5,1,3.0,4.0,3.0,9.0,4.0,
2020-04-06 00:10:00,6,3,0.6666666666666666,7.0,1.3333333333333333,6.666666666666667,9.0,1.0
2020-04-06 00:10:00,12,1,0.0,2.0,10.0,,5.0,0.0
2020-04-06 00:10:00,18,1,2.0,6.0,1.0,,3.0,
2020-04-06 00:10:00,19,1,8.0,10.0,1.0,,3.0,1.0
2020-04-06 00:15:00,3,1,4.0,7.0,5.0,0.0,9.0,
2020-04-06 00:15:00,6,1,8.0,3.0,1.0,7.0,10.0,
2020-04-06 00:15:00,8,4,7.0,5.0,7.75,,6.0,
2020-04-06 00:15:00,12,1,10.0,4.0,7.0,,2.0,
2020-04-06 00:20:00,3,1,0.0,7.0,10.0,10.0,1.0,
2020-04-06 00:20:00,6,1,10.0,3.0,10.0,9.0,0.0,
2020-04-06 00:20:00,15,1,0.0,5.0,4.0,,8.0,
2020-04-06 00:20:00,16,1,7.0,5.0,4.0,3.0,9.0,
2020-04-06 00:25:00,3,2,4.0,3.0,7.0,4.0,3.0,
2020-04-06 00:25:00,6,1,1.0,5.0,4.0,1.0,8.0,
2020-04-06 00:25:00,8,2,1.5,7.0,5.5,,3.0,
2020-04-06 00:25:00,15,2,7.5,2.0,2.5,,3.0,
2020-04-06 00:25:00,17,1,2.0,0.0,7.0,,9.0,
2020-04-06 00:30:00,4,1,10.0,3.0,6.0,,3.0,
2020-04-06 00:30:00,18,1,2.0,4.0,4.0,,3.0,
2020-04-06 00:30:00,19,1,9.0,10.0,6.0,,0.0,1.0
2020-04-06 00:35:00,1,1,2.0,10.0,3.0,5.0,5.0,
2020-04-06 00:35:00,2,2,4.5,6.5,4.5,,6.0,1.0
2020-04-06 00:35:00,3,2,7.5,4.5,8.5,6.0,2.5,
2020-04-06 00:35:00,9,1,8.0,9.0,1.0,6.0,7.0,
2020-04-06 00:35:00,17,1,2.0,0.0,3.0,,4.0,
2020-04-06 00:40:00,2,2,6.0,6.0,1.5,,2.5,1.0
2020-04-06 00:40:00,3,2,10.0,2.0,5.0,6.0,3.0,
2020-04-06 00:40:00,5,2,2.5,4.5,5.5,4.0,7.0,
2020-04-06 00:40:00,6,2,10.0,5.0,2.5,5.0,7.0,0.0
2020-04-06 00:40:00,19,1,4.0,5.0,7.0,,3.0,1.0
2020-04-06 00:45:00,2,2,9.5,7.0,1.5,,6.5,
2020-04-06 00:45:00,6,1,10.0,4.0,8.0,1.0,0.0,
2020-04-06 00:45:00,8,1,0.0,7.0,6.0,,0.0,
2020-04-06 00:45:00,9,1,4.0,4.0,8.0,2.0,5.0,
2020-04-06 00:50:00,2,1,8.0,10.0,10.0,,0.0,0.0
2020-04-06 00:50:00,3,1,0.0,4.0,3.0,10.0,3.0,
2020-04-06 00:50:00,5,1,9.0,1.0,2.0,5.0,1.0,
2020-04-06 00:50:00,9,1,7.0,0.0,9.0,3.0,9.0,
2020-04-06 00:50:00,14,2,3.0,2.5,5.0,,6.0,
2020-04-06 00:50:00,15,1,9.0,7.0,1.0,,9.0,
2020-04-06 00:50:00,19,1,9.0,0.0,9.0,,9.0,1.0
2020-04-06 00:55:00,2,1,8.0,4.0,7.0,,6.0,
2020-04-06 00:55:00,4,1,9.0,0.0,1.0,,5.0,
2020-04-06 00:55:00,6,1,7.0,5.0,5.0,7.0,3.0,1.0
2020-04-06 00:55:00,14,1,7.0,8.0,4.0,,1.0,
2020-04-06 00:55:00,15,4,7.5,5.25,7.75,,4.25,0.0
2020-04-06 00:55:00,19,1,6.0,2.0,2.0,0.0,1.0,
2020-04-06 01:00:00,3,1,0.0,3.0,5.0,2.0,7.0,0.0
2020-04-06 01:00:00,6,2,5.5,8.0,7.0,3.5,6.0,
2020-04-06 01:00:00,9,2,8.5,7.0,4.0,4.5,4.0,
2020-04-06 01:00:00,12,1,10.0,10.0,10.0,,10.0,
2020-04-06 01:00:00,14,2,9.0,6.0,5.0,,3.5,0.0
2020-04-06 01:00:00,15,1,10.0,3.0,5.0,,0.0,
2020-04-06 01:05:00,2,2,6.5,4.5,2.0,,8.0,1.0
2020-04-06 01:05:00,6,1,7.0,2.0,3.0,6.0,10.0,
2020-04-06 01:05:00,9,1,7.0,9.0,10.0,0.0,1.0,
2020-04-06 01:05:00,11,1,5.0,10.0,7.0,10.0,5.0,
2020-04-06 01:05:00,12,1,0.0,10.0,4.0,,9.0,
2020-04-06 01:05:00,15,1,0.0,5.0,0.0,,2.0,
2020-04-06 01:10:00,3,2,0.5,5.5,5.0,5.0,5.5,
2020-04-06 01:10:00,6,2,7.0,5.0,5.0,7.0,4.5,0.0
2020-04-06 01:10:00,8,1,10.0,6.0,7.0,,10.0,
2020-04-06 01:10:00,9,1,1.0,6.0,4.0,10.0,6.0,
2020-04-06 01:10:00,13,1,7.0,3.0,9.0,,8.0,
2020-04-06 01:10:00,16,2,10.0,4.0,5.0,8.0,7.0,
2020-04-06 01:15:00,2,1,10.0,2.0,10.0,,8.0,
2020-04-06 01:15:00,3,1,6.0,10.0,3.0,2.0,4.0,
2020-04-06 01:15:00,6,3,4.333333333333333,4.666666666666667,4.333333333333333,5.333333333333333,3.0,
2020-04-06 01:15:00,8,4,6.25,2.75,4.25,,5.75,
2020-04-06 01:15:00,9,1,8.0,9.0,1.0,3.0,1.0,
2020-04-06 01:15:00,13,2,5.0,8.5,7.0,,5.5,
2020-04-06 01:15:00,14,1,4.0,10.0,5.0,,10.0,
2020-04-06 01:15:00,18,1,1.0,5.0,9.0,,10.0,0.0
2020-04-06 01:20:00,1,1,10.0,7.0,6.0,7.0,3.0,
2020-04-06 01:20:00,2,1,10.0,3.0,0.0,,3.0,
2020-04-06 01:20:00,3,1,6.0,4.0,8.0,9.0,10.0,
2020-04-06 01:20:00,9,1,0.0,7.0,2.0,2.0,4.0,
2020-04-06 01:20:00,11,1,10.0,0.0,7.0,6.0,6.0,
